TicksTime,PosB,PosA,ScoreB,ScoreA
35566,349,302,0,0
,,,,
35581,349,302,0,0
,,,,
35596,349,302,0,0
,,,,
35611,349,302,0,0
,,,,
35625,349,302,0,0
,,,,
35642,349,302,0,0
,,,,
35653,349,302,0,0
,,,,
35669,349,302,0,0
,,,,
35682,349,302,0,0
,,,,
35694,349,302,0,0
,,,,
35709,349,302,0,0
,,,,
35720,349,302,0,0
,,,,
35734,349,302,0,0
,,,,
35745,349,302,0,0
,,,,
35760,349,302,0,0
,,,,
35773,349,302,0,0
,,,,
35785,349,302,0,0
,,,,
35799,349,302,0,0
,,,,
35813,349,302,0,0
,,,,
35826,349,302,0,0
,,,,
35840,349,302,0,0
,,,,
35852,349,302,0,0
,,,,
35866,349,302,0,0
,,,,
35880,349,302,0,0
,,,,
35895,349,302,0,0
,,,,
35908,349,302,0,0
,,,,
35921,349,302,0,0
,,,,
35936,349,302,0,0
,,,,
35951,349,302,0,0
,,,,
35963,349,302,0,0
,,,,
35976,349,302,0,0
,,,,
35987,349,302,0,0
,,,,
36002,349,302,0,0
,,,,
36016,349,302,0,0
,,,,
36028,349,302,0,0
,,,,
36042,349,302,0,0
,,,,
36054,349,302,0,0
,,,,
36067,349,302,0,0
,,,,
36080,342,302,0,0
,,,,
36095,335,302,0,0
,,,,
36109,328,302,0,0
,,,,
36123,321,302,0,0
,,,,
36136,314,302,0,0
,,,,
36152,307,302,0,0
,,,,
36166,300,302,0,0
,,,,
36179,300,302,0,0
,,,,
36192,300,302,0,0
,,,,
36207,300,302,0,0
,,,,
36221,300,302,0,0
,,,,
36234,300,302,0,0
,,,,
36246,300,302,0,0
,,,,
